,날짜,시가,고가,저가,종가,거래량,회사코드,시가총액,60beta,60개월평균수익률,티커,BPS,PER,PBR,EPS,DIV,DPS
119,2022-04-29,65100,65700,64100,65500,129490,011210,1771564783700,1.856515707173448,1.0001533870781145,011210,122356,28.18,0.54,2346,1.06,700
120,2022-04-29,62300,62700,61600,62300,100542,120110,1762996901300,0.9946754538286213,0.9984443546253843,120110,80483,9.82,0.77,6336,2.09,1300
121,2022-04-29,29100,30100,28800,30050,76792,003090,1757323485000,2.0039263662782645,1.0141937100675127,003090,17576,15.68,1.69,1897,0.34,100
122,2022-04-29,59100,61100,58300,59400,37746,014820,1747166499000,1.0808371166494957,1.0005419681211012,014820,22662,39.36,2.6,1499,1.02,600
123,2022-04-29,467000,470000,462000,470000,2213,007310,1733791613400,0.6119343304002286,0.9925304501646675,007310,442610,12.22,1.05,38054,1.72,8000
124,2022-04-29,306500,308500,301500,303500,24073,004370,1725831070000,0.3225741744724468,0.9992749269363119,004370,377778,17.73,0.81,17263,1.31,4000
125,2022-04-29,30350,30900,29900,30650,350260,019170,1714500000000,1.2721248058059478,1.0266645270131054,019170,6896,0.0,4.33,0,0.0,0
126,2022-04-29,75100,76200,75100,75700,44240,069960,1714439369300,0.9715044387435168,0.9940949526218534,069960,202283,8.78,0.38,8652,1.45,1100
127,2022-04-29,82900,83500,82600,83400,28076,004800,1688756888000,0.6450656468911873,0.9996406584159523,004800,131860,3.77,0.63,22012,7.83,6500
128,2022-04-29,18900,19150,18350,18850,996265,001230,1687874472900,1.7555565885165578,1.0088651952258698,001230,28552,3.29,0.68,5888,2.07,400
129,2022-04-29,85800,87500,85000,87000,36959,001040,1657586336000,1.1684935535290166,0.9882944250106994,001040,151085,10.61,0.58,8197,2.64,2300
130,2022-04-29,53000,53600,52600,53600,45128,010780,1655843681600,1.459455862312667,1.0036986970207487,010780,40644,15.38,1.3,3447,2.26,1200
131,2022-04-29,35400,35700,35200,35650,90735,017800,1623989943500,0.9531723084567414,0.9974515821025455,017800,27485,12.81,1.29,2771,2.25,800
132,2022-04-29,11650,11900,11650,11900,273260,003000,1607981854400,0.25560716235769537,0.9987726252447692,003000,3938,0.0,3.02,0,0.84,100
133,2022-04-29,81900,83500,80900,81500,127689,004000,1581919407600,0.9113081202723647,1.0125775196136935,004000,86322,3.57,0.95,22986,2.8,2300
134,2022-04-29,15300,15400,15100,15300,479538,042700,1513472236200,1.602269740437928,1.0237572660208296,042700,3506,14.19,4.28,1057,2.0,300
135,2022-04-29,39500,39500,38450,38450,438837,001120,1512163747020,1.7459497254865117,1.0028059059828527,001120,49349,3.95,0.78,9733,5.98,2300
136,2022-04-29,2960,3000,2910,2940,412814,003280,1508865030750,0.7578145106923808,0.9695010773361865,003280,428,24.58,6.78,118,0.0,0
137,2022-04-29,20400,20700,20000,20250,525197,020560,1506838221000,1.5279568299000863,0.9990014213763408,020560,6775,0.0,2.97,0,0.0,0
138,2022-04-29,29750,30150,29650,30150,181233,000880,1492780190400,1.3918791271809783,0.9953202551378454,000880,52527,3.03,0.56,9781,2.53,750
139,2022-04-29,40250,41150,40250,40850,199446,012510,1483840383000,0.6198409643468172,1.0068011878780878,012510,15708,24.18,2.62,1704,1.09,450
140,2022-04-29,47600,48650,47400,47950,86739,178920,1455061559150,1.2530569970091168,1.01743262943792,178920,11097,22.07,4.33,2179,2.27,1090
141,2022-04-29,48900,48900,47550,47850,171033,010120,1435500000000,1.3709691231837655,0.9990034096482555,010120,50525,17.28,0.99,2890,2.0,1000
142,2022-04-29,8970,9020,8880,8940,764883,139130,1408115139900,0.7617665552919839,0.9955968791057972,139130,32507,3.07,0.27,2886,7.12,630
143,2022-04-29,61800,62200,61200,61900,41184,000210,1381307742000,0.7176776834697973,0.9973552763581178,000210,173922,1.49,0.36,41881,3.05,1900
144,2022-04-29,47700,49150,46800,47000,429711,161890,1348000000000,1.0856173884113862,0.9911126940062744,161890,29876,30.06,1.57,1565,0.88,415
145,2022-04-29,4230,4315,4205,4310,342784,073240,1320630608000,0.9624168564571195,0.9896417832276144,073240,4083,0.0,1.04,0,0.0,0
146,2022-04-29,149500,153000,148000,152000,28349,006650,1302840000000,1.2968360733667088,0.9926592808784492,006650,328546,6.26,0.46,24277,2.3,3500
147,2022-04-29,27150,27200,26350,27000,298679,005850,1301488479000,1.174921298460125,1.0104991685486597,005850,32608,12.94,0.83,2094,1.85,500
148,2022-04-29,32150,33100,31550,31750,242589,031430,1301234130580,0.9046819592058607,1.0130089271866625,031430,20084,13.87,1.59,2300,0.94,300
149,2022-04-29,89500,89800,88000,89800,72530,000150,1297169219600,1.4300704316626247,1.0026430619073434,000150,121631,7.38,0.72,11890,2.28,2000
150,2022-04-29,41300,41400,40850,41400,13351,006120,1273632499500,1.3757180573567271,1.0010356475430966,006120,121961,4.03,0.35,10478,3.55,1500
151,2022-04-29,685000,685000,676000,683000,488,000670,1258113320000,0.7931232264553023,0.9946382354635338,000670,2011831,9.42,0.34,72187,1.47,10000
152,2022-04-29,9900,9910,9700,9720,314535,003690,1238091836970,0.4253212989883967,0.9974928630101416,003690,24697,6.94,0.4,1423,5.32,525
153,2022-04-29,35300,35800,35200,35200,56109,181710,1207000000000,0.8123021430986097,1.0013587374753932,181710,53297,10.67,0.67,3341,0.0,0
154,2022-04-29,4860,4890,4805,4850,475958,001740,1203710087950,0.8023547491955101,0.991672995571295,001740,10056,10.73,0.48,451,2.48,120
155,2022-04-29,245000,249500,244000,249500,3638,006040,1193183105000,0.848164369446782,0.9949775449987207,006040,421286,4.95,0.58,49605,2.04,5000
156,2022-04-29,10900,11250,10900,11200,386986,011000,1169233300000,-0.8590890971086764,1.014452306680128,011000,2659,0.0,4.17,0,0.0,0
157,2022-04-29,79123,81566,79123,80687,79184,039130,1159245376500,1.290292153479322,0.9996408323076312,039130,6373,0.0,13.04,0,0.0,0
158,2022-04-29,115500,121500,114000,119000,50378,018670,1133475000000,0.7450913917842948,1.0006457432866802,018670,235917,4.57,0.54,27773,4.02,5100
159,2022-04-29,1009000,1016000,1002000,1016000,291,003240,1131214400000,0.9285386953142937,1.0021904655832217,003240,4626787,2.69,0.22,377488,0.17,1750
160,2022-04-29,21550,22250,21300,22150,246643,089590,1116000000000,1.3289783442974898,0.9965761446923557,089590,3705,0.0,5.88,0,0.0,0
161,2022-04-29,48700,52100,48050,49800,3111838,249420,1098399036000,1.2190214706691709,1.0165287396211604,249420,6429,0.0,8.17,0,0.0,0
162,2022-04-29,48800,49800,48650,49800,34044,192080,1082258167800,0.6507386015418819,0.9984066838460345,192080,49639,6.71,1.0,7391,1.41,700
163,2022-04-29,59000,60100,58600,59700,34740,016710,1068942000000,0.4874512633556388,1.0319423341241216,016710,29257,56.63,2.01,1040,0.42,250
