티커,BPS,PER,PBR,EPS,DIV,DPS
003300,44782,9.2,0.3,1462,4.09,550
051600,24711,17.37,1.54,2193,3.15,1199
052690,13496,170.14,5.45,432,0.32,238
130660,2617,50.0,5.04,264,1.5,198
002320,84534,3.03,0.39,10804,1.83,600
003480,12363,0.0,0.39,0,2.06,100
180640,23786,232.39,2.41,247,0.0,0
18064K,0,0.0,0.0,0,0.0,0
005110,435,0.0,1.66,0,0.0,0
009460,1819,8.83,1.22,252,0.9,20
372910,4221,32.91,1.53,196,0.0,0
000880,52527,3.03,0.56,9781,2.53,750
00088K,0,0.0,0.0,0,5.08,800
088350,15004,1.99,0.19,1455,0.0,0
000370,12157,4.99,0.39,939,0.0,0
009830,42563,9.61,0.75,3320,0.0,0
009835,0,0.0,0.0,0,0.0,0
272210,11885,25.0,1.35,642,1.0,160
012450,57134,10.92,0.95,4989,1.28,700
000885,0,0.0,0.0,0,2.03,800
003530,8572,7.22,0.56,659,4.2,200
003535,0,0.0,0.0,0,2.17,250
195870,17313,16.79,4.07,4192,0.85,600
101530,9762,0.0,0.93,0,2.21,200
143210,11413,0.0,0.43,0,0.0,0
000720,64200,12.34,0.7,3625,1.34,600
267270,69619,6.5,0.56,5953,3.1,1200
000725,0,0.0,0.0,0,0.88,650
005440,20905,18.41,0.44,498,2.29,210
086280,154732,10.08,1.36,20877,1.81,3800
042670,6945,1.13,0.95,5816,0.0,0
064350,11847,31.36,1.61,609,0.0,0
079430,24314,21.83,0.6,671,0.68,100
012330,387397,8.13,0.54,25645,1.92,4000
010620,54249,0.0,1.53,0,0.0,0
069960,202283,8.78,0.38,8652,1.45,1100
004560,32770,3.97,0.56,4595,0.55,100
004565,0,0.0,0.0,0,0.19,150
004310,3106,0.0,1.65,0,0.59,30
322000,28600,0.0,0.79,0,0.0,0
017800,27485,12.81,1.29,2771,2.25,800
307950,49874,51.44,2.79,2702,0.5,700
011210,122356,28.18,0.54,2346,1.06,700
267260,17954,0.0,1.28,0,0.0,0
004020,135836,3.96,0.32,11110,2.27,1000
329180,63015,0.0,2.22,0,0.0,0
005380,289609,9.85,0.65,18979,2.67,5000
005387,0,0.0,0.0,0,5.32,5100
005389,0,0.0,0.0,0,5.56,5050
005385,0,0.0,0.0,0,5.33,5050
001500,29950,2.94,0.36,3702,7.34,800
011760,30061,5.8,0.61,3146,3.29,600
227840,22443,8.86,0.57,1434,3.94,500
126560,6969,3.98,0.48,846,2.67,90
001450,63866,5.9,0.49,5286,4.74,1480
057050,164432,6.76,0.36,8881,4.0,2400
093240,1952,0.0,1.02,0,0.0,0
003010,10380,12.49,0.61,507,2.05,130
111110,13408,7.05,0.8,1517,2.34,250
008770,15228,113.45,5.32,714,0.25,200
008775,0,0.0,0.0,0,0.33,250
002460,34410,9.02,0.65,2467,4.49,1000
378850,3175,15.12,1.43,300,0.55,25
241590,8858,0.0,1.93,0,0.26,45
006060,6826,0.0,0.88,0,3.11,188
013520,3250,0.0,0.54,0,1.42,25
010690,8760,11.9,1.01,741,0.79,70
133820,2690,43.56,1.3,80,0.0,0
010660,6354,12.19,0.52,272,0.3,10
000850,140159,8.45,0.26,4233,2.8,1000
016580,20760,10.45,0.88,1746,1.64,300
032560,17464,5.56,0.56,1756,2.05,200
004800,131860,3.77,0.63,22012,7.83,6500
094280,8676,14.31,1.99,1209,4.34,750
298040,100113,8.87,0.55,6187,0.0,0
298050,135183,8.38,3.48,56109,2.13,10000
298020,329152,2.27,1.23,178503,12.35,50000
298000,157800,10.06,1.41,22158,0.0,0
093370,2679,78.07,7.11,244,0.08,15
081660,26806,8.23,1.2,3914,3.11,1000
005870,10174,9.56,0.93,994,0.0,0
079980,14188,69.46,0.54,111,3.89,300
005010,79922,5.15,0.32,4934,3.15,800
000540,10599,4.56,0.38,873,0.0,0
000547,0,0.0,0.0,0,0.0,0
000545,0,0.0,0.0,0,0.0,0
003280,428,24.58,6.78,118,0.0,0
