티커,BPS,PER,PBR,EPS,DIV,DPS
007120,552,0.0,0.75,0,0.0,0
085620,14579,6.57,0.27,604,2.52,100
006800,16780,4.47,0.48,1803,3.72,300
00680K,0,0.0,0.0,0,6.76,300
006805,0,0.0,0.0,0,5.84,330
002840,59795,14.56,2.83,11641,3.54,6000
268280,65109,13.18,3.22,15897,1.0,2100
107590,87327,9.68,1.59,14308,0.36,500
134380,58718,12.73,1.21,5571,3.53,2500
003650,199594,3.73,0.41,21903,3.06,2500
003610,5145,20.55,0.76,191,1.15,45
001340,4293,16.88,1.33,337,0.88,50
035150,6016,15.93,2.11,797,0.79,100
002410,3456,34.9,1.96,194,0.0,0
007210,4049,0.0,0.96,0,0.26,10
002760,760,79.29,2.92,28,0.23,5
003850,7192,18.72,1.79,689,0.78,100
000890,611,0.0,1.63,0,0.0,0
003000,3938,0.0,3.02,0,0.84,100
001270,74017,2.85,0.33,8672,6.48,1600
001275,0,0.0,0.0,0,7.57,1650
026940,6021,12.25,0.9,440,1.39,75
011390,52585,0.0,2.22,0,0.21,250
005030,351,0.0,1.7,0,0.0,0
002070,3466,0.0,0.76,0,0.0,0
100220,16316,15.49,0.47,494,2.88,220
030790,1763,0.0,0.83,0,0.0,0
005180,63095,0.0,0.87,0,2.56,1400
003960,57550,3.99,0.59,8528,0.88,300
008040,1617,128.61,1.43,18,0.0,0
007160,90026,6.2,0.62,9031,0.54,300
014710,13357,12.41,0.53,572,0.85,60
006090,20876,6.75,0.54,1674,1.77,200
001470,1670,45.85,1.62,59,0.0,0
006400,219885,34.93,2.78,17492,0.16,1000
006405,0,0.0,0.0,0,0.34,1050
006660,27193,0.0,0.48,0,0.61,80
028260,184352,11.9,0.64,9913,3.56,4200
02826K,0,0.0,0.0,0,3.78,4250
207940,74551,142.54,11.24,5879,0.0,0
032830,210566,7.92,0.31,8183,4.63,3000
018260,93454,18.86,1.59,7901,1.61,2400
028050,10216,13.74,2.55,1900,0.0,0
009150,88937,14.27,1.89,11811,1.25,2100
009155,0,0.0,0.0,0,2.3,2150
005930,43611,11.65,1.54,5777,2.15,1444
005935,0,0.0,0.0,0,2.42,1445
001360,1896,0.0,2.08,0,0.0,0
010140,4813,0.0,1.25,0,0.0,0
010145,0,0.0,0.0,0,0.0,0
016360,68096,3.68,0.58,10810,9.56,3800
068290,18982,95.25,1.59,316,0.66,200
029780,70408,6.47,0.47,5164,6.89,2300
000810,363848,7.8,0.57,26399,5.83,12000
000815,0,0.0,0.0,0,7.41,12005
006110,11093,22.76,2.27,1105,0.8,200
145990,125904,13.86,0.45,4099,2.2,1250
145995,0,0.0,0.0,0,3.15,1300
003230,51826,13.13,1.89,7481,1.02,1000
002170,142633,4.97,0.41,11630,2.16,1250
272550,22607,10.79,1.02,2132,4.35,1000
000070,226314,2.81,0.38,30711,3.48,3000
000075,0,0.0,0.0,0,4.64,3050
002810,23697,6.25,0.6,2288,3.85,550
005680,25588,12.69,0.42,851,2.78,300
003720,1434,31.18,2.22,102,0.0,0
023000,5504,15.09,0.61,222,3.13,105
004380,9536,23.64,1.42,571,2.22,300
002450,3074,5.88,0.56,294,2.89,50
004440,21552,0.0,0.52,0,0.0,0
000520,5254,0.0,1.68,0,0.91,80
009770,86449,9.82,0.35,3046,3.34,1000
005500,19034,10.85,1.32,2308,3.19,800
004690,392735,6.5,0.29,17385,2.65,3000
010960,9871,8.39,0.53,621,3.65,190
004450,78782,57.44,0.57,780,2.79,1250
009470,9852,12.29,2.66,2131,1.15,300
011230,1230,0.0,3.16,0,0.0,0
001820,19654,19.71,2.78,2770,0.92,500
000390,12494,0.0,0.77,0,1.04,100
001290,2041,12.63,0.59,95,0.0,0
041650,9389,7.94,0.43,506,1.99,80
075180,12416,8.01,0.47,730,2.39,140
007540,86076,14.84,0.92,5356,0.25,200
248170,47071,9.63,1.06,5188,0.4,200
007860,21587,7.51,0.38,1091,1.22,100
200880,24588,7.16,0.28,973,2.15,150
017390,266539,86.49,0.69,2139,0.95,1750
004410,69,0.0,5.03,0,0.0,0
004415,0,0.0,0.0,0,0.0,0
021050,2799,6.75,0.75,311,0.71,15
008490,34874,8.1,1.12,4829,1.28,500
007610,4420,0.0,0.68,0,0.0,0
136490,17371,7.62,0.79,1804,0.73,100
014910,1617,14.94,1.48,160,0.21,5
014915,0,0.0,0.0,0,0.11,10
003080,6905,65.94,0.66,69,2.64,120
004980,16637,50.57,0.79,261,1.52,200
004985,0,0.0,0.0,0,1.25,250
011300,636,1.58,0.95,383,0.0,0
000180,8360,31.22,0.35,94,0.0,0
002420,4561,0.0,2.38,0,0.0,0
004360,40513,5.21,0.3,2342,1.64,200
004365,0,0.0,0.0,0,2.76,205
004490,88025,11.56,0.83,6291,0.83,600
001430,51304,3.53,0.36,5231,8.13,1500
306200,242703,5.5,0.74,32640,1.95,3500
003030,298051,3.58,0.52,43550,1.12,1750
019440,39391,5.46,0.43,3130,7.02,1200
058650,498163,9.54,0.24,12479,2.31,2750
013000,1569,26.23,1.22,73,0.0,0
091090,1166,0.0,0.84,0,0.0,0
021820,44548,3.26,0.18,2478,0.31,25
067830,12126,18.73,0.3,197,0.81,30
033530,14814,0.0,0.48,0,1.4,100
075580,2983,24.85,2.47,297,2.03,150
027970,1702,9.66,1.01,178,0.0,0
308170,11373,106.33,1.55,166,0.0,0
012600,1462,0.0,1.7,0,0.0,0
068270,28307,41.85,6.11,4134,0.43,750
336370,7359,251.56,9.88,289,0.14,100
33637K,0,0.0,0.0,0,0.6,101
33637L,0,0.0,0.0,0,0.52,100
248070,5368,88.5,4.52,274,0.0,0
004430,22636,9.27,1.23,3011,0.72,200
017550,2261,16.16,1.51,211,0.29,10
053210,16643,7.24,0.55,1266,3.82,350
026890,6111,6.7,1.69,1537,1.46,150
134790,36600,7.33,1.54,7704,0.71,400
016590,139181,6.36,0.67,14644,1.34,1250
029530,99889,3.35,0.33,9845,4.55,1500
004970,35004,4.71,0.38,2804,3.79,500
011930,1029,0.0,1.86,0,0.0,0
005390,1844,17.65,1.91,200,0.0,0
004170,380637,7.9,0.65,31193,1.22,3000
035510,21018,5.36,0.8,3144,1.48,250
034300,56534,5.41,0.63,6539,2.4,850
031430,20084,13.87,1.59,2300,0.94,300
031440,73553,116.99,0.99,624,1.03,750
006880,8722,18.26,1.4,668,0.98,120
005800,35880,18.24,0.37,721,1.14,150
001720,81242,2.58,0.71,22418,6.92,4000
001725,0,0.0,0.0,0,7.02,4050
009270,2665,11.67,0.72,165,2.6,50
009275,0,0.0,0.0,0,0.16,55
002700,1175,20.26,1.97,114,1.08,25
019170,6896,0.0,4.33,0,0.0,0
019175,0,0.0,0.0,0,0.0,0
002870,3226,0.0,0.71,0,2.62,60
055550,88548,5.71,0.47,7308,4.7,1960
004080,10783,11.64,1.53,1418,1.33,220
102280,869,0.0,1.05,0,0.0,0
003410,3296,22.27,2.5,370,5.34,440
003620,0,0.0,0.0,0,0.0,0
004770,1956,26.59,1.75,129,0.0,0
015540,60,0.0,106.83,0,0.0,0
004920,1202,0.0,0.92,0,0.0,0
112610,21204,36.67,2.76,1598,1.02,600
008700,1016,14.36,2.43,172,0.0,0
002790,36853,25.54,1.38,1989,0.89,450
00279K,0,0.0,0.0,0,1.73,667
002795,0,0.0,0.0,0,2.36,455
090430,69049,63.48,2.59,2820,0.55,980
090435,0,0.0,0.0,0,1.3,985
002030,491013,2.81,0.32,56785,1.88,3000
183190,23262,6.23,0.65,2431,1.49,225
002310,79766,4.36,0.56,10160,2.03,900
012170,564,0.0,2.2,0,0.0,0
267850,14016,7.79,1.32,2375,2.7,500
020560,6775,0.0,2.97,0,0.0,0
122900,11569,8.86,0.93,1213,5.58,600
010780,40644,15.38,1.3,3447,2.26,1200
139990,8901,11.14,1.83,1459,0.0,0
001780,2537,85.35,1.45,43,0.0,0
018250,13210,32.83,1.49,600,1.02,200
161000,14384,4.54,0.73,2302,5.26,550
011090,1120,13.39,2.08,174,0.0,0
137310,21658,4.27,2.15,10918,2.72,1266
005850,32608,12.94,0.83,2094,1.85,500
010580,494,0.0,3.1,0,0.0,0
012750,42676,18.01,1.61,3815,3.64,2500
023960,1001,0.0,2.47,0,0.0,0
298690,673,0.0,3.4,0,0.0,0
078520,5784,0.0,1.31,0,0.0,0
015260,1342,0.0,1.92,0,0.0,0
007460,1687,0.0,0.94,0,0.0,0
003060,1274,40.55,0.64,20,0.0,0
244920,4341,13.46,1.66,535,2.08,150
036570,155059,22.0,2.74,19318,1.38,5860
380440,0,0.0,0.0,0,0.0,0
085310,1302,8.38,0.91,142,0.0,0
097520,16767,19.43,2.58,2229,1.15,500
014440,7960,27.28,0.62,180,2.04,100
111770,50585,7.06,0.95,6795,2.08,1000
009970,140307,2.75,0.37,19026,3.82,2000
003520,573,0.0,8.53,0,0.0,0
000670,2011831,9.42,0.34,72187,1.47,10000
006740,7504,30.66,1.48,362,0.36,40
012280,1156,0.0,1.51,0,0.0,0
012160,2387,13.01,0.45,83,0.0,0
015360,114939,7.4,0.33,5064,6.01,2250
007310,442610,12.22,1.05,38054,1.72,8000
002630,418,0.0,1.99,0,0.0,0
271560,55935,14.63,1.71,6519,0.79,750
001800,34867,10.32,0.42,1429,4.41,650
011690,550,0.0,4.44,0,0.0,0
070960,8025,29.44,0.66,180,0.0,0
316140,35494,4.29,0.42,3481,6.02,900
010050,686,9.58,1.27,91,2.29,20
006980,67106,0.0,0.52,0,0.43,150
017370,5363,0.0,0.61,0,0.0,0
105840,7106,0.0,1.37,0,1.03,100
010400,14448,0.0,0.53,0,1.3,100
049800,4106,4.21,1.15,1126,1.06,50
016880,762,5.83,2.21,289,0.0,0
095720,3219,7.77,0.92,381,4.39,130
005820,51925,32.77,0.43,685,1.11,250
010600,559,0.0,3.27,0,0.0,0
008600,1711,0.0,0.78,0,0.0,0
033270,20259,15.44,1.47,1930,1.24,370
014830,114016,6.1,1.12,20907,1.33,1700
000910,8391,13.24,0.89,564,1.67,125
047400,1997,228.46,1.49,13,1.18,35
011330,1521,25.67,0.88,52,2.25,30
077500,11339,5.12,1.06,2342,2.5,300
002920,10639,10.05,0.29,311,3.84,120
000700,13108,6.24,0.47,991,6.47,400
003470,7421,4.94,0.48,719,5.07,180
003475,0,0.0,0.0,0,6.17,230
072130,4368,3.6,1.05,1271,0.0,0
000220,6458,0.0,1.16,0,1.4,105
000225,0,0.0,0.0,0,1.1,110
000227,0,0.0,0.0,0,0.57,110
001200,10239,3.39,0.32,966,4.28,140
000100,28297,40.71,2.15,1496,0.66,400
000105,0,0.0,0.0,0,0.7,410
003460,8013,16.57,0.32,156,5.03,130
003465,0,0.0,0.0,0,5.19,140
008730,13954,66.28,1.62,341,2.21,500
008250,17759,11.96,0.73,1091,1.53,200
025820,3669,7.19,1.23,630,1.1,50
214320,41003,14.91,1.2,3294,3.67,1800
139480,369202,2.34,0.36,56152,1.52,2000
007660,1984,0.0,3.9,0,0.0,0
005950,10433,4.44,1.52,3584,3.14,500
015020,1294,53.55,1.57,38,0.0,0
093230,267,29.5,0.66,6,0.0,0
074610,1405,0.0,2.78,0,0.0,0
102460,13436,90.98,2.07,305,0.9,250
084680,1689,0.0,1.64,0,0.0,0
000760,52259,1.09,0.35,16817,0.0,0
014990,537,0.0,1.83,0,0.0,0
101140,2607,1.43,0.96,1753,0.0,0
006490,604,55.8,4.62,50,0.0,0
023800,12678,50.64,0.93,234,1.27,150
034590,46433,31.08,0.6,901,4.46,1250
129260,7246,6.94,0.5,519,2.78,100
023810,10103,32.84,0.99,306,1.79,180
249420,6429,0.0,8.17,0,0.0,0
000230,4723,0.0,8.92,0,0.24,100
013360,2021,54.08,2.62,98,0.57,30
003120,225529,0.0,0.38,0,0.88,750
003200,341544,4.47,0.36,27763,2.42,3000
007110,675,0.0,2.73,0,0.0,0
007570,12017,31.01,2.04,790,0.82,200
007575,0,0.0,0.0,0,0.81,225
008500,15717,0.0,1.43,0,0.0,0
081000,28934,43.65,0.9,598,1.53,400
020760,268,0.0,7.5,0,0.0,0
020150,21440,65.17,4.14,1361,0.34,300
103590,8714,14.19,0.66,403,1.75,100
271940,8459,141.37,4.75,284,0.0,0
015860,9069,13.02,0.63,437,2.64,150
226320,21524,0.0,1.19,0,0.78,200
317400,7839,8.85,1.19,1052,2.15,200
033240,17751,26.66,1.92,1279,0.0,0
000950,126397,390.71,0.43,140,0.0,0
194370,16003,6.0,1.45,3876,2.58,600
025620,803,0.0,1.67,0,0.0,0
030000,11030,15.67,2.32,1634,3.87,990
271980,11534,0.0,2.29,0,0.25,65
001560,12565,13.96,0.9,813,2.38,270
002620,26821,0.0,0.49,0,0.49,65
006220,16059,12.22,0.39,514,1.59,100
089590,3705,0.0,5.88,0,0.0,0
004910,17256,0.0,0.48,0,1.2,100
004700,106105,15.62,0.46,3153,0.61,300
001550,10258,70.31,2.45,357,0.0,0
000480,207776,10.5,0.4,7840,5.47,4500
120030,124685,8.57,0.97,14114,1.24,1500
018470,1361,15.22,1.8,161,0.0,0
002600,242899,7.82,0.86,26792,3.1,6500
185750,48073,27.09,2.04,3614,1.02,1000
063160,29437,0.0,1.2,0,0.28,100
001630,109358,21.7,0.64,3212,2.01,1400
044380,794,16.72,1.35,64,0.0,0
013890,31401,18.68,2.01,3372,1.35,850
013870,12569,11.49,0.47,511,1.36,80
071320,157459,25.73,0.23,1399,2.21,797
035000,9942,6.19,0.66,1067,5.3,350
088790,8077,13.8,0.49,287,1.01,40
003780,3652,21.49,2.81,477,1.71,175
010640,2947,16.58,2.14,380,2.78,175
100250,5936,20.55,0.63,183,4.52,170
051630,2116,0.0,2.67,0,0.0,0
272450,3352,0.0,5.4,0,0.0,0
011000,2659,0.0,4.17,0,0.0,0
002780,1166,7.33,2.31,367,0.0,0
002787,0,0.0,0.0,0,0.0,0
002785,0,0.0,0.0,0,0.0,0
009310,1387,0.0,0.92,0,0.0,0
000650,25177,0.0,2.68,0,3.7,2500
033250,1040,0.0,1.27,0,0.0,0
118000,1468,10.72,0.86,118,0.0,0
035720,23018,27.1,3.79,3221,0.06,53
