,52주베타,거래소코드
356,0.86,71970
357,1.76,500
358,1.40,860
359,1.51,9140
360,1.27,13580
361,1.53,12200
362,1.87,2140
363,1.03,10130
364,1.19,2240
365,1.22,9290
366,1.22,17900
367,0.68,30610
368,1.40,339770
369,0.74,7690
370,2.07,2720
371,0.91,114090
372,1.19,83420
373,1.19,14530
374,1.00,14280
375,1.24,2990
376,1.44,11780
377,1.32,1210
378,1.38,73240
379,0.65,92440
380,0.82,270
381,1.42,4540
382,1.17,1260
383,1.20,3920
384,0.90,25860
385,1.23,35420
386,1.51,2350
387,0.53,251270
388,0.96,58730
389,1.36,30210
390,0.72,353200
391,1.54,8110
392,1.56,5750
393,0.76,6570
394,0.90,1680
395,1.04,84690
396,1.31,128820
397,-0.31,117580
398,0.10,16710
399,0.93,3540
400,0.89,14160
401,2.29,9320
402,1.50,42660
403,1.30,430
404,1.56,6340
405,0.42,3220
406,1.33,24890
407,0.74,15230
408,0.13,1070
409,2.04,6650
410,2.13,1440
411,0.19,84010
412,1.04,1790
413,1.37,1130
414,1.17,5880
415,1.33,3830
416,1.12,24900
417,1.44,1230
418,0.74,5960
419,0.70,2210
420,1.04,640
421,0.96,170900
422,0.92,282690
423,0.56,82640
424,1.34,8970
425,0.02,92780
426,0.95,18500
427,0.83,6040
428,1.14,30720
429,0.84,14820
430,0.71,163560
431,0.01,4890
432,1.98,2690
433,0.77,20
434,1.04,241560
435,2.02,34020
436,1.79,336260
437,0.86,24090
438,0.99,1530
439,1.66,155660
440,2.11,69730
441,0.97,210
442,0.84,1880
443,0.88,375500
444,0.96,13570
445,0.80,210540
446,1.67,32350
447,1.32,89860
448,1.47,400
449,1.08,23530
450,0.91,4000
451,0.90,286940
452,0.80,280360
453,1.19,4990
454,0.41,5300
455,1.31,11170
456,0.96,2270
457,1.37,71840
458,0.67,1080
459,1.14,8560
460,0.72,60
461,1.53,17180
462,1.05,9900
463,1.82,9200
464,1.43,9580
465,1.34,8420
466,1.36,25560
467,0.78,85620
468,0.92,6800
469,0.71,2840
470,0.21,268280
471,0.21,107590
472,0.29,134380
473,0.53,3650
