,종목명,종목코드,opt1,opt2,opt3
0,현대차,005380,51.05,55.54,37.79
1,SK텔레콤,017670,11.32,18.29,18.27
2,LG,003550,37.63,16.54,16.53
3,삼성카드,029780,0.0,5.4,23.17
4,CJ대한통운,000120,0.0,4.22,4.24
