,종목명,종목코드,opt1,opt2,opt3
0,SK하이닉스,000660,1.63,36.0,36.01
1,NAVER,035420,0.0,20.11,7.77
2,삼성SDI,006400,17.95,18.08,17.22
3,기아,000270,8.73,15.48,15.17
4,SKC,011790,8.84,2.41,0.0
5,유한양행,000100,2.02,1.91,1.82
6,메리츠금융지주,138040,24.66,1.78,1.59
7,일진머티리얼즈,020150,17.31,1.7,1.67
8,DB하이텍,000990,14.24,1.38,2.58
9,하이트진로,000080,4.6,1.14,16.17
