,Date,대형가치주CAPM,대형성장주CAPM,중소형가치주CAPM,중소형성장주CAPM,대형가치주포트폴리오분산,대형성장주포트폴리오분산,중소형가치주포트폴리오분산,중소형성장주포트폴리오분산,대형가치주샤프지수,대형성장주샤프지수,중소형가치주샤프지수,중소형성장주샤프지수,코스피200수익률
0,2010-05-01,-4.433981659513108,-6.359875940325231,-6.364890609031536,-6.294719299840083,0.0004537156822208,0.0009459967471574,0.0010745738228116,0.0009852733889342,-2.0949035879239197,-2.076975234908213,-1.9502882130143155,-2.014398522742498,-5.970607589383626
1,2010-06-01,2.174985684974048,3.2159069827014304,3.0803696995844287,3.1422079692110083,0.0011162978334933,0.0023045084841539,0.0024602006843698,0.0023222482581229,0.6430083646223184,0.6643598905460991,0.6156687125533233,0.6465239698004428,3.037230568256044
2,2010-07-01,2.70793766695083,4.020971062813415,3.8568408023333367,3.898303402442313,0.0009440555348014,0.0019568207654297,0.0020604895730864,0.0019615655764986,0.8734778023205105,0.903526415397481,0.8443457436000301,0.874736247559201,3.803486529318545
3,2010-08-01,-0.7690330890569341,-1.123757963686705,-1.0432819603730743,-1.0944077572234527,0.0008402849997823,0.0017503747647076,0.0018183789522865,0.0017432089859364,-0.2724753644142291,-0.2735746639383211,-0.249538040190224,-0.267106682381674,-1.0643402399127533
4,2010-09-01,5.209053784349523,7.46754672264189,6.942767496040758,7.31797505082674,0.0007615656249328,0.0015892609815996,0.0016443535226823,0.0015807840291511,1.879436023852973,1.8675465618201164,1.7065814860722182,1.8349277197418608,7.116088355892591
5,2010-10-01,0.0140409203220201,0.0120688908448218,0.0124856246095518,0.0121482872714705,0.0008782981272284,0.0018219031953882,0.0017961940405551,0.0017943418852759,-0.0014421443988883,-0.0014633159343199,-0.0013754219412693,-0.0014557680631679,0.0123482197983193
6,2010-11-01,1.9730171402168015,2.9101131389249417,2.720859771626654,2.9075015011383587,0.0007984235461157,0.0016572831083275,0.0016331940905696,0.0016320226551752,0.6903022545800123,0.7093242993289192,0.6677062282829891,0.7141462106310249,2.7409663346777524
7,2010-12-01,6.41010662802261,9.081050106699504,8.42963182909039,9.173129792288073,0.0007238397794933,0.0015035528923967,0.0014787600416964,0.0014811303866406,2.373590462761238,2.3357209748218843,2.1858208068693448,2.377260384503701,8.632430700208316
8,2011-01-01,0.53692836073747,0.7275310523374774,0.6826196415229382,0.7315834147160037,0.0008749698472632,0.0017962989578743,0.0017044756127336,0.0017888926696392,0.1742019608598768,0.1665512208100185,0.1601002840778145,0.1678537500847526,0.7116781592241717
9,2011-02-01,-4.55210501250553,-6.401021529473616,-5.875445802572095,-6.410985101488064,0.0008132966246795,0.0016713000442515,0.001585650827083,0.0016642300410822,-1.6034986463999326,-1.570838952060227,-1.480718493648663,-1.5766143975981026,-6.136496777973044
10,2011-03-01,6.552671622309672,8.809902022979953,8.315048182281991,9.049155644879564,0.0010236982307297,0.002089589315509,0.0019359237858457,0.0020836384300401,2.0402087470088364,1.9217998221808417,1.8841467439616049,1.97695620665784,8.780621001716327
11,2011-04-01,3.04306242115324,4.114919145273666,3.802204366337053,4.2315147689124375,0.0011423677497772,0.0022752522623165,0.0020916993343999,0.002293214981771,0.8949240231098279,0.8588340137154626,0.8273491316716339,0.8798115916410231,4.130957076774111
12,2011-05-01,-1.9777572824158092,-2.691176128633477,-2.432869721530951,-2.759113900734438,0.0010800297481668,0.0021462708164744,0.0019697438534635,0.0021655955528008,-0.6063646184277943,-0.5841330981080627,-0.5515453537708039,-0.5961199796807297,-2.627500947002304
13,2011-06-01,-2.039479551842759,-2.7791684123803977,-2.484679174401919,-2.8052885378964305,0.0010895887140372,0.0021597870968061,0.0019742515433922,0.0021830495352521,-0.6226496336029802,-0.6014153002053435,-0.5627628188030206,-0.603792803843271,-2.6842551987551144
14,2011-07-01,0.516400051077921,0.7629679408602542,0.6638788943358186,0.7465536872085944,0.0010918669650795,0.0021600358970064,0.0019666639182163,0.0021840347571854,0.151240031815649,0.16058041573534,0.1459458926903924,0.1561834265830442,0.7050187157030097
15,2011-08-01,-9.229170634945223,-13.738741276597851,-11.657088394030923,-13.264735284368989,0.0010338059683348,0.0020449880503453,0.00186286014282,0.0020679375188647,-2.872995468346397,-3.039938389546023,-2.7027767633685054,-2.9187877058427154,-12.612320017321643
16,2011-09-01,-3.713739946416145,-5.485897925719661,-4.227778932413555,-5.101766909603141,0.0015188899408062,0.0031215783301671,0.0026435902039508,0.0030730104495201,-0.955680266070712,-0.9838227844160732,-0.8243771827362986,-0.9222725228432406,-4.852163858605884
17,2011-10-01,6.588013001167242,9.684092322977309,7.513912153228639,9.028524360512035,0.0015324747467576,0.0031570100487667,0.002637399098862,0.0030903300911206,1.6803448800524023,1.7217595172243565,1.4611679329618923,1.622308008257331,8.450154073173909
18,2011-11-01,-2.9084156881238696,-3.566630673690931,-2.2267041414744275,-3.1534050159429663,0.0016326069488624,0.0033854293164282,0.0027246026990137,0.0032655852642061,-0.722279873093872,-0.6147047288677662,-0.4285049898284565,-0.5535712549148716,-3.4776692812550025
19,2011-12-01,-1.0482068950771766,-1.2821389284376887,-0.8745339788782661,-1.1652436735165217,0.0016150179333545,0.0033212621218899,0.0026456575469731,0.0031919406414369,-0.2633174598364483,-0.2242104174660877,-0.1719669576821633,-0.208016836742607,-1.2894398606907331
20,2012-01-01,6.49501838317128,8.011981105105153,5.194106801920992,6.928976008109491,0.001555287431346,0.0031944401425165,0.0025429110451438,0.0030693814107521,1.6441843167277643,1.4156479490786122,1.0278721025618938,1.2487183390607106,7.904905913978477
21,2012-02-01,3.320017006799492,4.084519926990573,2.579069385811362,3.4039076921118734,0.0016353580520585,0.003275683479931,0.0025151081109801,0.0030951975472273,0.8172762829546331,0.7110391820054106,0.5112738000474968,0.6091400257847144,3.982094200077868
22,2012-03-01,-0.179888663587566,-0.2242355523302865,-0.1396497747377724,-0.1796834615298214,0.0015957681054569,0.0031813143857647,0.0024245874822926,0.0029938146583371,-0.0489918894175496,-0.0425605927692724,-0.031573724564271,-0.0357306587167963,-0.2058922621944403
23,2012-04-01,-0.7465572671130074,-0.8608140956019498,-0.5384326284022137,-0.7298678848588099,0.0015381738589424,0.0030656308975764,0.0023363438652271,0.0028845813357932,-0.1945989915121494,-0.1584784152408696,-0.1148392523718652,-0.1389951484316817,-0.8365218696076093
