Date,CAPM 기대수익률,포트폴리오분산,샤프지수,코스피200수익률
2010-05-01,-6.294719299840083,0.0009852733889342345,-2.014398522742498,-5.970607589383626
2010-06-01,3.1422079692110083,0.0023222482581229786,0.6465239698004428,3.037230568256044
2010-07-01,3.898303402442313,0.0019615655764986853,0.874736247559201,3.803486529318545
2010-08-01,-1.0944077572234527,0.0017432089859364447,-0.267106682381674,-1.0643402399127533
2010-09-01,7.31797505082674,0.0015807840291511802,1.8349277197418612,7.1160883558925905
2010-10-01,0.012148287271470569,0.0017943418852759186,-0.0014557680631679028,0.012348219798319349
2010-11-01,2.9075015011383587,0.0016320226551752757,0.7141462106310249,2.7409663346777524
2010-12-01,9.173129792288071,0.001481130386640627,2.377260384503701,8.632430700208316
2011-01-01,0.7315834147160037,0.0017888926696392358,0.16785375008475265,0.7116781592241717
2011-02-01,-6.410985101488064,0.0016642300410822093,-1.5766143975981026,-6.1364967779730435
2011-03-01,9.049155644879564,0.0020836384300401893,1.9769562066578399,8.780621001716327
2011-04-01,4.2315147689124375,0.002293214981771097,0.8798115916410231,4.130957076774111
2011-05-01,-2.759113900734438,0.002165595552800887,-0.5961199796807297,-2.6275009470023036
2011-06-01,-2.8052885378964305,0.002183049535252144,-0.603792803843271,-2.6842551987551144
2011-07-01,0.7465536872085944,0.002184034757185411,0.1561834265830442,0.7050187157030097
2011-08-01,-13.264735284368989,0.002067937518864731,-2.9187877058427154,-12.612320017321643
2011-09-01,-5.101766909603141,0.003073010449520106,-0.9222725228432406,-4.852163858605884
2011-10-01,9.028524360512037,0.003090330091120616,1.622308008257331,8.450154073173909
2011-11-01,-3.1534050159429663,0.0032655852642061497,-0.5535712549148716,-3.4776692812550025
2011-12-01,-1.1652436735165215,0.003191940641436978,-0.20801683674260707,-1.2894398606907331
2012-01-01,6.928976008109491,0.0030693814107521,1.2487183390607106,7.904905913978477
2012-02-01,3.4039076921118734,0.0030951975472273095,0.6091400257847144,3.982094200077868
2012-03-01,-0.17968346152982148,0.0029938146583371994,-0.03573065871679635,-0.20589226219444037
2012-04-01,-0.7298678848588099,0.002884581335793238,-0.13899514843168173,-0.8365218696076093
2012-05-01,-6.089107694480366,0.002788879338604688,-1.1558632222541403,-7.679213164365429
2012-06-01,0.2588321949338491,0.002860884381162467,0.04512273125191925,0.3482892849825836
2012-07-01,1.544893526347165,0.0027629422099241315,0.2913740960388949,2.1151490404246687
2012-08-01,0.1575380883157586,0.0026731430357017265,0.027893171576454164,0.19193857965451588
2012-09-01,3.813288115691666,0.0025879298990458257,0.7468066621007006,4.761334610472545
2012-10-01,-4.052903199181985,0.0025361964733134085,-0.8077516298376866,-4.689702464855805
2012-11-01,1.417050227432599,0.0025287903210096446,0.278811697608135,1.6268286833479806
2012-12-01,3.2787854665646554,0.002456044723674322,0.6589105870910006,3.803343166175033
2013-01-01,-1.8622737405380525,0.0024045904491011164,-0.3823193807656039,-2.2165807820551775
2013-02-01,3.2839997188137224,0.002356298703747945,0.6736151897568415,3.851668152051757
2013-03-01,-1.476576567184726,0.0023657151532382923,-0.30597821608644404,-1.7238162755121134
