,Unnamed: 0,Date,대형주CAPM,성장주CAPM,중소형주CAPM,가치주CAPM,대형주포트폴리오분산,성장주포트폴리오분산,중소형주포트폴리오분산,가치주포트폴리오분산,대형주샤프지수,성장주샤프지수,중소형주샤프지수,가치주샤프지수,코스피200수익률,최대수익률,최소분산,샤프모델최대,대형주안정,성장주안정,중소형주안정,가치주안정,대형주,성장주,중소형주,가치주,대형주최소분산,성장주최소분산,중소형주최소분산,가치주최소분산,월,년,동행지수증가,선행지수증가,동행지수,선행지수,샤프수익률 라벨링,코스피
0,0,2010-05-01,-5.466868406098797,-6.156702696452995,-6.075194453678846,-5.86574476492131,0.0006942188682956,0.0009430031740685,0.0009503579354135,0.0008958974986948,-2.085604485955124,-2.014107112192417,-1.9798586644010536,-1.969171210751285,-5.970607589383626,-5.466868406098797,-5.466868406098797,-5.86574476492131,0,0,0,1,1,0,0,0,1,0,0,0,5,2010,1.0039800995024877,1.0,0.9000000000000057,2.0999999999999943,3,-4.738336865327897
1,1,2010-06-01,2.783766549734922,3.076520762482857,2.9861117019048864,2.8376067166886503,0.0016985832155476,0.0022227747223424,0.0022047674855077,0.0020724068472008,0.6689832342122765,0.646899620902435,0.6302815702862326,0.6174760317069692,3.037230568256044,3.076520762482857,2.783766549734922,2.783766549734922,1,0,0,0,0,1,0,0,1,0,0,0,6,2010,1.0009910802775024,1.0,1.0,2.0999999999999943,0,2.6474029519591546
2,2,2010-07-01,3.459530921608752,3.82116930793914,3.727951444348416,3.5747737311873773,0.0014440783204773,0.0018775857052724,0.0018538876397972,0.0017370040201941,0.9040271461579856,0.8762835951248285,0.8602165571642982,0.8519343369870221,3.803486529318546,3.82116930793914,3.459530921608752,3.459530921608752,1,0,0,0,0,1,0,0,1,0,0,0,7,2010,1.001980198019802,0.9990205680705192,1.2000000000000028,2.0,0,2.316018924285368
3,3,2010-08-01,-0.9630765884678526,-1.078666036993532,-1.028772715779598,-0.9509895751297516,0.0012919111885521,0.0016689871714595,0.0016418879930046,0.0015355761626926,-0.2737338402178117,-0.2691281162403369,-0.2590267997127971,-0.2479937869364749,-1.0643402399127533,-0.9509895751297516,-0.9630765884678526,-0.9509895751297516,0,0,0,1,0,0,0,1,1,0,0,0,8,2010,0.9970355731225296,0.9980392156862744,0.9000000000000057,1.7999999999999972,3,1.794263838234289
4,4,2010-09-01,6.403763626052529,7.223469896287926,6.884765628728808,6.330656967389263,0.0011730076130408,0.0015141349219555,0.0014870384734234,0.0013881536200958,1.8631943695447049,1.850590735564528,1.7795417505562476,1.6931118139679746,7.116088355892591,7.223469896287926,6.403763626052529,6.403763626052529,1,0,0,0,0,1,0,0,1,0,0,0,9,2010,0.9950445986124876,0.9980353634577604,0.4000000000000057,1.5999999999999943,0,3.039742068602469
5,5,2010-10-01,0.0129263491596696,0.0122599212137933,0.012548033313895,0.0130339888074812,0.001343009056688,0.0017266878288566,0.0016596440837998,0.0015106472313058,-0.0014703825877209,-0.0014571484115648,-0.0014155669350408,-0.0013587048562589,0.0123482197983193,0.0130339888074812,0.0129263491596696,0.0130339888074812,0,0,0,1,0,0,0,1,1,0,0,0,10,2010,0.9950199203187252,0.9950787401574804,-0.09999999999999432,1.0999999999999943,3,4.0725700458494885
6,6,2010-11-01,2.548344257440717,2.8409726425873707,2.7176523271717707,2.5013295908250126,0.0012216223361645,0.001570620441591,0.0015093592687414,0.0013734413568065,0.7226747242767584,0.711184829453775,0.6937316074189185,0.6688773370084539,2.7409663346777524,2.8409726425873707,2.548344257440717,2.548344257440717,1,0,0,0,0,1,0,0,1,0,0,0,11,2010,0.9989989989989988,0.9980217606330368,-0.20000000000000284,0.9000000000000057,0,1.8526847014858294
7,7,2010-12-01,7.978800300962716,8.987607483360113,8.589704141812891,7.833717787408399,0.0011091752964599,0.0014251020432296,0.0013683230773331,0.0012436885113099,2.388481261622495,2.3743969590266523,2.3155913541561968,2.2144814355186986,8.632430700208316,8.987607483360113,7.978800300962716,7.978800300962716,1,0,0,0,0,1,0,0,1,0,0,0,12,2010,1.0020040080160322,0.998017839444995,0.0,0.7000000000000028,0,4.042007804728742
8,8,2011-01-01,0.6397974309264778,0.7182868266726128,0.6880404002073808,0.6288672023860092,0.0013430423278234,0.0017197331612052,0.0016276883302143,0.0014439505289074,0.1686761263458095,0.1679892826061908,0.1651767985117729,0.1597991353518174,0.7116781592241717,0.7182868266726128,0.6397974309264778,0.6397974309264778,1,0,0,0,0,1,0,0,1,0,0,0,1,2011,1.009,1.003972194637537,0.9000000000000057,1.0999999999999943,0,4.449724197589888
9,9,2011-02-01,-5.797746823073043,-6.272149861846292,-6.046473144976897,-5.618889973693924,0.0012495023511928,0.001599919792568,0.0015142370838534,0.0013432947815684,-1.6460639503893753,-1.5732792748875888,-1.559183707787153,-1.5387579093483552,-6.136496777973044,-5.618889973693924,-5.797746823073043,-5.618889973693924,0,0,0,1,0,0,0,1,1,0,0,0,2,2011,0.998017839444995,1.0009891196834817,0.7000000000000028,1.2000000000000028,3,-4.242692865079722
